Variable,,,
RLTD_TC_Y2,0,,2 Yr Avg
RLTD_TC_Y3,0,,3 Yr Avg
RLTD_TC_Y4,0,,4 Yr Avg
RLTD_TC_Y5,0,,5 Yr Avg
RLTD_TC_Y6,0,,6 Yr Avg
RLTD_TC_Y7,0,,7 Yr Avg
RLTD_EQ_Q1,0,,1 Yr Avg
RLTD_EQ_Y1,0,,1 Yr Avg
RLTD_EQ_Y2,0,,2 Yr Avg
RLTD_EQ_Y3,0,,3 Yr Avg
RLTD_EQ_Y4,0,,4 Yr Avg
RLTD_EQ_Y5,0,,5 Yr Avg
RLTD_EQ_Y6,0,,6 Yr Avg
RLTD_EQ_Y7,0,,7 Yr Avg
RINVTRN_12,94,,12 Yr Avg
RINVTRN_Y1,93,,1 Yr Ago
RINVTRN_Y2,93,,2 Yr Ago
RINVTRN_Y3,92,,3 Yr Ago
RINVTRN_Y4,94,,4 Yr Ago
RINVTRN_Y5,95,,5 Yr Ago
RINVTRN_Y6,95,,6 Yr Ago
RINVTRN_Y7,96,,7 Yr Ago
RTA_TRN_12,64,,12 Yr Ago
RTA_TRN_Y1,65,,1 Yr Avg
RTA_TRN_Y2,74,,2 Yr Avg
RTA_TRN_Y3,74,,3 Yr Avg
RTA_TRN_Y4,75,,4 Yr Avg
RTA_TRN_Y5,76,,5 Yr Avg
RTA_TRN_Y6,67,,6 Yr Avg
RTA_TRN_Y7,60,,7 Yr Avg
RPRICE,100,,C Yr Avg
RPRICEH_52,100,,52 Yr Avg
RPRICEL_52,100,,52 Yr Avg
RPR_PRH_52,89,,52 Yr Ago
RLTD_WC_Q1,0,,1 Yr Avg
RAVM_03M,99,,03 Yr Ago
RAVD_10D,99,,10 Yr Ago
RRS_04W,54,,04 Yr Ago
RRS_13W,83,,13 Yr Ago
RRS_26W,80,,26 Yr Ago
RRS_52W,87,,52 Yr Ago
RRSW_4Q,80,,4 Yr Ago
RBETA,70,,A Yr Avg
RMKTCAP,100,,C Yr Avg
RFLOAT,98,,A Yr Avg
RSHRINSTN,100,,I Yr Avg
RSHRINST,74,,I Yr Avg
RSHRINSD,10,,I Yr Avg
REPS_EG5,75,,5 Yr Ago
ROPM_12M,85,,12 Yr Ago
ROPM_Y1,82,,1 Yr Ago
ROPM_Y2,77,,2 Yr Ago
ROPM_Y3,69,,3 Yr Ago
ROPM_Y4,62,,4 Yr Ago
ROPM_Y5,61,,5 Yr Ago
ROPM_Y6,39,,6 Yr Ago
ROPM_Y7,32,,7 Yr Ago
RTIE_12M,NA,,12 Yr Ago
RTIE_Y1,NA,,1 Yr Ago
RTIE_Y2,NA,,2 Yr Ago
RTIE_Y3,NA,,3 Yr Ago
RTIE_Y4,NA,,4 Yr Ago
RTIE_Y5,NA,,5 Yr Ago
RTIE_Y6,97,,6 Yr Ago
RTIE_Y7,84,,7 Yr Ago
RARTURN_12,75,,12 Yr Avg
RARTURN_Y1,67,,1 Yr Ago
RARTURN_Y2,65,,2 Yr Ago
RARTURN_Y3,56,,3 Yr Ago
RARTURN_Y4,74,,4 Yr Ago
RARTURN_Y5,83,,5 Yr Ago
RARTURN_Y6,68,,6 Yr Ago
RARTURN_Y7,70,,7 Yr Ago
REPSDC_G1F,64,,1 Yr Avg
REPSDC_G3F,93,,3 Yr Avg
REPSDC_G5F,99,,5 Yr Avg
REPSDC_G7F,100,,7 Yr Avg
REPSDC_G1T,65,,1 Yr Avg
PTM_12M,29.7,,12 Yr Ago
CURR_Q1,2.6,,1 Yr Ago
LTD_EQ_Q1,0,,1 Yr Avg
PAYOUT_12M,0,,12 Yr Ago
